open,close,high,low,value,volume,begin,end
211.0,218.82,218.9,211.0,1700915768.48,7889268.0,2023-08-28,2023-08-28 23:59:59
219.0,210.1,219.48,208.07,3351912096.35,15765261.0,2023-08-29,2023-08-29 23:59:59
210.11,202.68,210.49,200.66,3570817756.41,17510286.0,2023-08-30,2023-08-30 23:59:59
203.0,206.01,207.98,201.18,1634424930.68,7981265.0,2023-08-31,2023-08-31 23:59:59
206.63,205.64,206.92,203.2,780613820.81,3810259.0,2023-09-01,2023-09-01 23:59:59
206.31,207.17,208.66,206.3,977441212.41,4716940.0,2023-09-04,2023-09-04 23:59:59
207.39,204.71,207.79,203.09,1192884092.28,5825472.0,2023-09-05,2023-09-05 23:59:59
204.89,203.56,205.3,201.1,996803947.19,4911783.0,2023-09-06,2023-09-06 23:59:59
204.0,199.21,204.45,197.28,1440744550.7,7184753.0,2023-09-07,2023-09-07 23:59:59
199.2,196.21,200.6,193.84,1133339766.28,5780620.0,2023-09-08,2023-09-08 23:59:59
196.02,192.1,197.23,190.84,1319470761.27,6837166.0,2023-09-11,2023-09-11 23:59:59
192.9,198.39,198.69,192.2,1006918776.48,5155041.0,2023-09-12,2023-09-12 23:59:59
198.94,192.78,198.94,192.0,904969939.04,4631032.0,2023-09-13,2023-09-13 23:59:59
193.3,190.77,193.8,185.5,1502205215.63,7932095.0,2023-09-14,2023-09-14 23:59:59
190.5,196.12,196.4,190.49,959593879.64,4960248.0,2023-09-15,2023-09-15 23:59:59
196.25,193.88,198.31,192.0,845601806.54,4354020.0,2023-09-18,2023-09-18 23:59:59
193.8,194.53,199.69,191.55,2106513351.49,10789037.0,2023-09-19,2023-09-19 23:59:59
194.9,198.82,202.0,192.05,2279282256.4,11552456.0,2023-09-20,2023-09-20 23:59:59
197.96,197.94,201.29,195.0,1563179958.56,7869372.0,2023-09-21,2023-09-21 23:59:59
198.1,204.55,204.9,196.0,2308183385.48,11409421.0,2023-09-22,2023-09-22 23:59:59
205.0,203.54,209.6,202.2,2078877209.02,10118936.0,2023-09-25,2023-09-25 23:59:59
